Round,Day,Area,Material,Material description,Price,Qty,Value,Cost
1,4,WE,KK-B01,1L ClearPure,12.99,141,"1,831.59","1,690.59"
1,1,NO,KK-B01,1L ClearPure,15.99,96,"1,535.04","1,151.04"
1,1,NO,KK-B04,500mL ClearPure,19.99,62,"1,239.38","1,053.38"
1,1,NO,KK-B05,500mL Spritz,22.99,61,"1,402.39","1,219.39"
1,1,NO,KK-B05,500mL Spritz,22.99,50,"1,149.50",999.50
1,1,NO,KK-B03,1L Lemon Spritz,19.99,89,"1,779.11","1,512.11"
1,1,NO,KK-B04,500mL ClearPure,19.99,106,"2,118.94","1,800.94"
1,1,WE,KK-B06,500mL Lemon Spritz,25.99,67,"1,741.33","1,540.33"
1,1,WE,KK-B04,500mL ClearPure,19.99,91,"1,819.09","1,546.09"
1,1,WE,KK-B04,500mL ClearPure,19.99,99,"1,979.01","1,682.01"
