Round,Day,Area,Material,Material description,Price,Qty,Value,Cost
2,8,SO,KK-B06,500mL Lemon Spritz,22.40,87,"1,948.80","2,000.13"
2,8,SO,KK-B04,500mL ClearPure,18.50,106,"1,961.00","1,800.94"
2,8,SO,KK-B03,1L Lemon Spritz,15.70,115,"1,805.50","1,953.85"
2,8,SO,KK-B01,1L ClearPure,14.50,135,"1,957.50","1,618.65"
2,7,NO,KK-B03,1L Lemon Spritz,15.70,128,"2,009.60","2,174.72"
2,7,NO,KK-B04,500mL ClearPure,18.50,72,"1,332.00","1,223.28"
2,7,NO,KK-B04,500mL ClearPure,18.50,69,"1,276.50","1,172.31"
2,7,NO,KK-B04,500mL ClearPure,18.50,68,"1,258.00","1,155.32"
2,7,NO,KK-B04,500mL ClearPure,18.50,64,"1,184.00","1,087.36"
2,7,NO,KK-B03,1L Lemon Spritz,15.70,90,"1,413.00","1,529.10"
2,7,NO,KK-B05,500mL Spritz,21.50,72,"1,548.00","1,439.28"
2,7,NO,KK-B06,500mL Lemon Spritz,22.40,67,"1,500.80","1,540.33"
2,7,NO,KK-B05,500mL Spritz,21.50,84,"1,806.00","1,679.16"
2,7,NO,KK-B03,1L Lemon Spritz,15.70,99,"1,554.30","1,682.01"
2,7,NO,KK-B03,1L Lemon Spritz,15.70,125,"1,962.50","2,123.75"
2,7,NO,KK-B03,1L Lemon Spritz,15.70,137,"2,150.90","2,327.63"
2,7,SO,KK-B05,500mL Spritz,21.50,86,"1,849.00","1,719.14"
2,7,SO,KK-B04,500mL ClearPure,18.50,103,"1,905.50","1,749.97"
2,7,SO,KK-B01,1L ClearPure,14.50,104,"1,508.00","1,246.96"
2,7,WE,KK-B04,500mL ClearPure,18.50,71,"1,313.50","1,206.29"
2,7,WE,KK-B03,1L Lemon Spritz,15.70,82,"1,287.40","1,393.18"
2,7,WE,KK-B05,500mL Spritz,21.50,75,"1,612.50","1,499.25"
2,7,WE,KK-B06,500mL Lemon Spritz,22.40,81,"1,814.40","1,862.19"
2,7,WE,KK-B02,1L Spritz,17.50,79,"1,382.50","1,184.21"
2,7,WE,KK-B06,500mL Lemon Spritz,22.40,80,"1,792.00","1,839.20"
2,7,WE,KK-B06,500mL Lemon Spritz,22.40,87,"1,948.80","2,000.13"
2,7,WE,KK-B04,500mL ClearPure,18.50,96,"1,776.00","1,631.04"
2,7,WE,KK-B05,500mL Spritz,21.50,98,"2,107.00","1,959.02"
2,2,NO,KK-B05,500mL Spritz,23.99,26,623.74,519.74
2,2,WE,KK-B05,500mL Spritz,23.99,90,"2,159.10","1,799.10"
2,2,WE,KK-B06,500mL Lemon Spritz,30.99,24,743.76,551.76
1,20,SO,KK-B06,500mL Lemon Spritz,30.99,47,"1,456.53","1,080.53"
1,19,SO,KK-B05,500mL Spritz,28.99,61,"1,768.39","1,219.39"
1,18,SO,KK-B05,500mL Spritz,26.99,55,"1,484.45","1,099.45"
1,11,SO,KK-B04,500mL ClearPure,18.50,71,"1,313.50","1,206.29"
1,11,SO,KK-B04,500mL ClearPure,18.50,107,"1,979.50","1,817.93"
1,11,SO,KK-B03,1L Lemon Spritz,18.99,105,"1,993.95","1,783.95"
1,10,NO,KK-B03,1L Lemon Spritz,18.99,107,"2,031.93","1,817.93"
1,10,NO,KK-B04,500mL ClearPure,18.50,115,"2,127.50","1,953.85"
1,10,NO,KK-B04,500mL ClearPure,18.50,108,"1,998.00","1,834.92"
1,10,SO,KK-B04,500mL ClearPure,18.50,106,"1,961.00","1,800.94"
1,9,WE,KK-B03,1L Lemon Spritz,18.99,71,"1,348.29","1,206.29"
1,9,WE,KK-B03,1L Lemon Spritz,18.99,86,"1,633.14","1,461.14"
1,7,SO,KK-B01,1L ClearPure,14.99,67,"1,004.33",803.33
